iso3_d,trade_actual,trade_predicted,n_years,gdp_d_last,potential_ratio,gap_usd,gap_pct,classification
CPV,770666.054,10593048.725114297,18,1769787215.42141,13.745316366450853,9822382.671114298,1274.5316366450854,Sous-exploité
SLE,6310132.1117222225,14530173.480294574,18,3739577973.2394295,2.3026734184062683,8220041.3685723515,130.26734184062684,Sous-exploité
GNB,0.0,7277983.986006001,18,1346841897.00437,7277983.986006001,7277983.986006001,727798398.6006001,Sous-exploité
GMB,580489.0053888889,7838437.691433021,18,1504954957.89304,13.503163055055264,7257948.686044132,1250.3163055055265,Sous-exploité
DJI,1575215.6853333332,8379765.794580032,18,2766868072.24848,5.319757714834322,6804550.109246699,431.97577148343214,Sous-exploité
MDV,7389107.74411111,13247688.70922072,18,4735989972.05433,1.7928671725999281,5858580.96510961,79.28671725999283,Sous-exploité
COM,520666.1888333333,6136648.741067398,18,1074778460.9556,11.786147963281243,5615982.552234065,1078.6147963281244,Sous-exploité
KNA,0.0,5168108.544095601,18,996944444.444444,5168108.544095601,5168108.544095601,516810854.4095601,Sous-exploité
ABW,7772134.197777778,12701293.800686961,18,2700558659.21788,1.6342092760465379,4929159.602909183,63.42092760465378,Sous-exploité
LBR,6533483.7155,11355058.557461284,18,3285455000.0,1.7379791627126286,4821574.841961284,73.79791627126286,Sous-exploité
TGO,12428254.495777778,16936462.743442755,18,4819949975.18151,1.3627386491961957,4508208.247664977,36.27386491961956,Sous-exploité
STP,0.0,2721195.55976623,17,375040173.816889,2721195.55976623,2721195.55976623,272119555.976623,Sous-exploité
SYC,4704401.717111111,7308865.846305561,18,1503168689.81984,1.5536228166317831,2604464.1291944506,55.36228166317832,Sous-exploité
VNM,246308668.8696667,248773205.4488119,18,223779865815.183,1.0100058864775454,2464536.579145193,1.000588647754535,Équilibre
BLZ,7535535.305055555,8053707.801227103,18,1836593466.1815696,1.0687638601897211,518172.49617154803,6.876386018972116,Équilibre
LUX,117783226.71344444,117852652.61460787,18,64023412339.7075,1.000589437928478,69425.90116342902,0.058943792847801435,Équilibre
USA,286251089002.5758,286251089002.52405,18,19485393853000.0,0.9999999999998191,-0.0517578125,-1.8081263089809335e-11,Équilibre
GRD,5632938.109388889,5473301.477337866,18,1126882296.2963,0.9716601480522318,-159636.63205102272,-2.833985194776825,Équilibre
CYM,19361233.014923077,19198996.557502765,13,5141833913.356529,0.9916205513721535,-162236.45742031187,-0.8379448627846415,Équilibre
TCA,5257959.171,4934524.445980354,17,962525840.0,0.9384866419649028,-323434.7250196459,-6.15133580350972,Équilibre
DMA,4166884.7265000003,3638108.141552698,18,519837037.037037,0.873100260829281,-528776.5849473025,-12.689973917071892,Équilibre
VCT,7003605.9115,4727950.537163865,18,792177777.777778,0.6750737544213498,-2275655.3743361356,-32.49262455786502,Sur-exploité
LCA,10569229.04938889,7885992.214783024,18,1816728740.74074,0.746127477977118,-2683236.834605865,-25.387252202288202,Sur-exploité
